Abandon;TERK ETMEK
Passenger;YOLCU
Passive;PASİF, EYLEMSİZ
Passport;PASAPORT
Password;PAROLA
Past;GEÇMİŞ
Pasta;MAKARNA (Hamurdan yapılan şeyler)
Paste;BEYAZ TUTKAL, MACUN, HAMUR
Pastime;HOŞ İYİ ZAMAN
Path;PATİKA, KÜÇÜK YOL
Patience;SABIR
Patient;1.SABIRLI 2.HASTA
Patrol;DEVRİYE
Patron;1)DESTEKLEYİCİ KİŞİ 2)DEVAMLI MÜŞTERİ
Pause;MOLA, ARA
Paw;HAYVAN PENÇESİ
Pay;ÖDEMEK
Payment;ÖDEME
Pea;BEZELYE
Peace;BARIŞ
Peach;ŞEFTALİ
Peak;ZİRVE, TEPE
Peanut;YER FISTIĞI
Pear;ARMUT
Pearl;İNCİ
Peasant;ÇİFTÇİ, KÖYLÜ KESİM
Peculiar;GARİP
Pedal;PEDAL
Pedestrian;YAYA GİDEN
Peel;KABUK SOYMAK (Meyve)
Pen;1.AĞIL 2.TÜKENMEZ KALEM
Penalty;CEZA
Pencil;KURŞUN KALEM
Penknife;ÇAKI
Pension;EMEKLİ MAAŞI
People;HALK
Pepper;BİBER
Per;HER
Perfect;KUSURSUZ, YETKİN
Perform;1.ÇALIŞMAK 2.UYGULAMAK
Performance;PERFORMANS
Perfume;PARFÜM
Perhaps;BELKİ
Peril;BÜYÜK TEHLİKE
Period;1)ÇAĞ, DEVİR, PERİOD 2)ADET (hali)
Permanent;DEVAMLI,SÜREKLİ
Permission;İZİN
Permit;1.İZİN VERMEK 2.İZİN KAĞIDI
Persist;DEVAM ETMEK
Person;KİŞİ
Personality;KİŞİLİK
Persuade;İKNA ETMEK
Pessimist;KÖTÜMSER
Petrol;PETROL
Petrol Station;BENZİNCİ
Philosophy;FİZOLOFİ
Phone;TELEFON
Photo;FOTOĞRAF
Physical;FİZİKSEL
Piano;PİYANO
Pick;TOPLAMAK, SEÇMEK
Picket;GREV GÖZCÜSÜ, FABRİKA ÖNÜNDE BEKLEME
Pickle;TURŞU
Pickpocket;YANKESİCİ
Picnic;PİKNİK
Picture;RESİM
Pie;PASTA, BÖREK
Piece;PARÇA
Pig;DOMUZ
Pigeon;GÜVERCİN
Pile;ÜST ÜSTE KOYMAK
Pill;HAP
Pillow;YASTIK
Pillowcase;YASTIK KILIFI
Pilot;PİLOT
Pin;TOPLU İĞNE
Pincers;1)KERPETEN 2)KISKAÇ (Yengecin v.b.)
Pinch;ÇİMDİKLEMEK, SIKIŞTIRMAK (Kapıya vb.)
Pine;ÇAM
Pineapple;ANANAS
Pink;PEMBE
Pioneer;ÖNCÜ
Pipe;1.BORU 2.PİPO 3.FLÜT
Pistol;TABANCA
Pity;ACIMAK (What a pity : Ne yazık)
Pity;ACIMAK (What a pity : Ne yazık)
Place;YER, YERLEŞTİRMEK
Plain;AÇIK, ORTADA, DÜZ
Plan;PLAN, PLANLAMAK
Plane;UÇAK
Plant;1.BİTKİ, BİTKİ EKMEK  2.FABRİKA, TESİS
Plantation;EKİLİ YER
Plastic;PLASTİK
Plate;TABAK
Platform;1)PLATFORM, YÜKSEKÇE YER, KÜRSÜ 2)PERON
Play;1.OYNAMAK 2.ÇALMAK (bir müzik aletini)
Player;OYUNCU, ÇALAN
Playground;OYUN SAHASI
Pleasant;KEYİFLİ, ZEVKLİ
Please;1.LÜTFEN  2.MUTLANDIRMAK
Pleasure;ZEVK
Plenty;ÇOK SAYIDA
Plough;TOPRAĞI SÜRMEK
Plug;FİŞ, BANYO TIKACI
Plum;1)ERİK 2)BONBON SEKERİ
Plumber;MUSLUK TAMİRCİSİ
Plus;ARTI
Pocket;CEP
Poem;ŞİİR
Poet;ŞAİR, OZAN
Poetry;ŞİİRLER, ŞAİRLİK, ŞİİRLE İLGİLİ
Point;NOKTA, UÇ
Poison;ZEHİR
Pole;1)KUTUP 2)DİREK, KAZIK
Police;POLİS
Policy;1.POLİÇE  2.YÖNETİM İLKESİ, POLİTİKA
Polish;PARLATMAK
Polite;KİBAR
Political;POLİTİK
Politician;POLİTİKACI, POLİTİKAYLA UĞRAŞAN
Politics;POLİTİK
Pool;HAVUZ
Poor;1.YOKSUL 2.ZAVALLI
Population;NÜFUS
Porcelain;PORSELEN
Pork;DOMUZ ETİ
Port;LİMAN
Porter;1)HAMMAL 2)KAPICI
Position;DURUM, KONUM
Positive;1.EMİN, KESİN  2.OLUMLU
Possess;SAHİP OLMAK
Possession;SAHİPLİK
Possibility;OLASILIK
Possible;OLASI, MÜMKÜN
Post;1.POSTA  2.İŞARET  3.DEVRİYE GEZMEK (askerde)
Postage;POSTA ÜCRETİ
Postpone;ERTELEMEK
Pot;TENCERE
Potato;PATATES
Pour;DÖKMEK, AKITMAK
Poverty;FAKİRLİK
Powder;TOZ, PUDRA
Power;GÜÇ
Power Of Attorney;VEKALETNAME
Powerful;GÜÇLÜ
Power-House;1)ELEKTRİK SANTRALI 2)OLAĞANÜSTÜ ENERJİYE SAHİP ŞEY
Practical;PRATİK
Practice;ALIŞTIRMA
Practise;ALIŞTIRMA YAPMAK
Praise;ÖVMEK
Pray;DUA ETMEK
Preach;VAAZ VERMEK
Precious;KIYMETLİ, ÇOK SEVİLEN
Precisely;KESİNLİKLE, TAM MANASIYLA
Predict;TAHMİN ETMEK
Prefer;YEĞLEMEK, TERCİH ETMEK
Pregnant;HAMİLE
Prejudice;ÖNYARGI
Preparation;HAZIRLIK
Prepare;HAZIRLAMAK
Prescription;REÇETE
Presence;VARLIK(bir yerde varlığı )
Present;BURADA, MEVCUT, ŞİMDİKİ, ARMAĞAN
Present;SUNMAK
Preserve;KORUMAK,KONSERVE YAPMAK
President;BAŞKAN
Press;1.BASKI 2.ÜTÜLEME 3.BASIN
Press;BASKI YAPMAK, BASMAK
Pressure;BASINÇ, BASKI
Pretend;GİBİ GÖZÜKMEK, TAKLİT YAPMAK
Pretty;1.SEVİMLİ  2.OLDUKÇA
Prevent;KORUMAK
Previous;ÖNCEKİ
Price;FİYAT
Pride;ONUR,GURUR
Priest;RAHİP
Primarily;ANA OLARAK
Primary;1)ÖNCELERİ,ESKİDEN 2)ANA,BAŞ-Primary cause 3)İLK OKU
Primitive;1)İLKEL 2)BASİT, MODASI GEÇMİŞ
Prince;PRENS
Principal;1.EN ÖNEMLİ 2.PRENSİP  3.ANA PARA (borçta)
Print;1.BASMAK(harfler vs.) 2.İZ
Priority;ÖNCELİK
Prison;HAPİS
Prisoner;1.MAHKUM 2.ESİR
Private;ÖZEL
Privilege;İMTİYAZ
Prize;ÖDÜL
Probable;OLASI
Problem;SORUN, PROBLEM
Process;İŞLEM
Produce;ÜRETMEK
Product;ÜRÜN
Production;ÜRETİM
Profession;MESLEK
Profit;KAR
Programme;PROGRAM
Progress;GELİŞME
Prohibit;YASAKLAMAK
Promise;SÖZ VERMEK
Promote;1)İLERLEME,TERFİ ETME 2)TANITIM(Ürün vb.Satış iρin)
Promotion;TERFİ
Pronounce;OKUNUŞUNU ÇIKARTMAK, TELAFFUZ ETMEK
Proof;KANIT
Propeller;1)İLERİYE YÜRÜTEN ŞEY 2)VAPUR VEYA UÇAK PERVANESİ
Proper;UYGUN, DOĞRU
Property;MAL, MÜLK (bir işinin sahip olduğu), EŞYA
Proportion;ORANTI
Proposal;PLAN, ÖNERİ
Propose;1.PLANINI AÇIKLAMAK 2.EVLİLİK TEKLİF ETMEK
Prosecute;TAKİP ETMEK, KAVUŞTURMAK, DAVA AÇMAK, SUÇLAMAK
Prostitution;FUHUŞ
Protect;KORUMAK
Protest;PROTESTO
Proud;GURURLU
Prove;KANITLAMAK
Proverb;ATA SÖZÜ
Provide;SAĞLAMAK, TEDARİK ETMEK
Provocation;KIŞKIRTMA
Provoke;KIŞKIRTMAK, KIZDIRMAYA NEDEN OLMAK
Pub;PAB, BİRAHANE
Public;HALK  (puplıc sector=devlet sektörü )
Publicity;İLAN, REKLAM, YAYINLAMA
Publish;BASIM (bir yayını)
Pull;ÇEKMEK
Pull Up;ARACI DURDURMAK
Pullover;1.KAZAK  2.ARABAYI DURDURMAK, KENARA ÇEKMEK
Pulse;NABIZ, VURUŞ
Pump;POMPA
Pumpkin;KABAK
Punch;1.DELMEK 2.YUMRUKLAMAK
Punctual;TAM ZAMANINDA
Punish;CEZALANDIRMAK
Pupil;1.ÖĞRENCİ 2.GÖZBEBEĞİ
Puppet;KUKLA
Puppy;GENÇ KÖPEK
Purchase;SATIN ALMAK
Pure;SAF, TEMİZ
Purple;MOR
Purpose;AMAÇ
Purse;KÜÇÜK EL ÇANTASI
Push;İTMEK
Put;KOYMAK
Puzzle;BULMACA, PROBLEM
Pyjamas;PİJAMA
Pyramid;PİRAMİT
Qualified;EHLİYETLİ, KALİFİYE
Quality;NİTELİK, KALİTE
Quantity;MİKTAR
Quarrel;TARTIŞMAK, ATIŞMAK
Quarter;ÇEYREK
Queen;KRALİÇE
Question;SORU, SORMAK
Queue;SIRA, KUYRUK
Quick;ÇABUK
Quiet;SESSİZ, SAKİN, HUZURLU
Quite;HEMEN HEMEN, YAKLAŞIK OLARAK
Quiz;KÜÇÜK TEST
Quota;KOTA, KONTENJAN
Quote;AKTARMA,  SÖYLEME
Rabbit;TAVŞAN
Race;IRK
Race;YARIŞMAK
Racket;RAKET
Radar;RADAR
Radiator;RADYATÖR
Radio;RADYO
Rail;RAY
Railing;BAHCE PARMAKLIKLARI
Railway;TREN YOLU
Rain;YAĞMUR
Raincoat;YAĞMURLUK
Raise;1.YÜKSELTMEK 2.ZAM YAPMAK 3.YETİŞTİRMEK
Ram;1)KOÇ 2)VURMAK, TOSLAMAK
Range;ARALIK, ALAN
Rank;1.SIRA 2.RÜTBE 3.SOSYAL SINIF
Rapid;ÇABUK, HIZLI
Rare;NADİR
Rash;1)HIZLI, ACELE 2)ÇİL
Rat;SIÇAN
Rate;1.HIZ  2. ORAN
Rather;EPEY, ÇOK DEĞİL
Raw;1.HAM 2.ÇİĞ
Razor;USTURA, TRAŞ MAKİNESİ
Reach;ERİŞMEK
Read;OKUMAK
Ready;HAZIR
Realize;FARK ETMEK (idrak etmek )
Really;GERÇEKTEN
Rear;1)YETİŞTİRMEK(insan,kuş,bitki) 2)ARKA,ARKA TARAF
Reason;1.NEDEN  2.AKIL
Reasonable;MAKUL
Recall;ANIMSAMAK
Receipt;MAKBUZ
Receive;1.ALMAK 2.KARŞILAMAK
Recent;YAKIN ZAMANDA OLAN
Reception;1.RESMİ DAVET 2.RESEPSİYON
Recession;DURAKLAMA, GERİLEME, EKONOMİDE DURGUNLUK
Recipe;YEMEK TARİFİ
Recognize;TANIMAK
Recollect;HATIRLAMAK
Recommend;TAVSİYE ETMEK
Reconcile;UZLAŞMA, ANLAŞMA YAPMAK
Reconciliation;UZLAŞMA
Record;1.KAYIT 2.PLAK 3.REKOR
Recover;1.İYİLEŞMEK 2.(kaybedilen bir şeyi) BULMAK
Red;KIRMIZI, KIZIL
Reduce;AZALTMAK
Referee;HAKEM
Referendum;REFERANDUM, HALK OYLAMASI
Refill;DOLDURMAK
Reflect;YANSITMAK
Refreshments;SANDOVİÇ, TOST, İÇECEK (Gar,istasyon gibi yerlerde)
Refrigerator;BUZDOLABI
Refuge;REFÜJ, GÜVENLİ YER
Refugee;TEHLİKEDEN KAÇAN, KAZAZEDE
Refuse;REDDETMEK
Regard;1.DİKKAT 2.DÜŞÜNCE 3.BAKMAK 4.İNANMAK
Region;BÖLGE
Register;1)KÜTÜK,SİCİL,KAYIT 2)REGISTER POST=TAAHÜTLÜ MEKTUP
Regret;ÜZGÜN OLMAK, PİŞMAN OLMAK
Regular;DÜZENLİ, OLAĞAN
Regulation;YÖNETMELİK, YASA
Reject;KABUL ETMEMEK
Relate;ANLATMAK, NAKLETMEK (formal tell)
Relation;1.İLİŞKİ 2.AKRABALIK
Relationship;İLİŞKİ, İLETİŞİM
Relative;1.AKRABA 2.GÖRECELİ
Relax;RAHATLAMAK, GEVŞEMEK
Release;SERBEST BIRAKMAK, GEVŞETMEK
Relevant;BAĞINTILI, KONUYLA İLİŞKİLİ
Reliable;GÜVENİLİR
Relief;RAHATLAMA
Relieve;UZAKLAŞTIRMAK (ağrıyı v.s.)
Religion;DİN
Reluctant;İSTEKSİZ VE BUNDAN DOLAYI İŞİ YAPMAYI AĞIRDAN ALMAK
Remain;1.GERİYE KALMAK 2.YERİNDE DURMAK
Remark;BELİRTMEK, AÇIKLAMA
Remarkable;DİKKATE DEĞER
Remedy;ÇARE
Remember;UNUTMAMAK, ANIMSAMAK
Remind;ANIMSATMAK
Remit;1)AFFETMEK,BAĞIŞLAMAK2)POSTAYLA PARA YOLLAMA-Havale
Remittance;HAVELE (Para)
Remote;UZAK
Remove;UZAKLAŞTIRMAK
Rent;KİRALAMAK
Repair;ONARMAK
Repay;GERİ ÖDEMEK
Repeat;TEKRARLAMAK
Replace;YENİDEN YERLEŞTİRMEK
Replacement;YERLEŞTİRME
Reply;YANITLAMAK, YANIT
Report;RAPOR,  RAPOR ETMEK
Represent;TEMSİL ETMEK
Representative;TEMSİLCİ
Republic;CUMHURİYET
Reputation;İTİBAR,ÜN
Request;RİCA ETMEK, RİCA
Require;GEREKSİNMEK
Rescue;KURTARMAK
Research;ARAŞTIRMA
Resent;HOŞLANMAMAK, KIZMAK
Reserve;1.REZERV 2.REZERVASYON YAPTIRMAK
Reside;OTURMAK, İKAMET ETMEK
Resident;BÖLGEDE YAŞAYAN, OTURAN
Resign;İSTİFA ETMEK
Resist;KARŞI KOYMAK
Respect;SAYGI DUYMAK
Respectable;SAYGIDEĞER
Respond;CEVAP VERMEK
Responsible;SORUMLU
Rest;DİNLENMEK
Rest;GERİYE KALAN
Restaurant;RESTORAN, LOKANTA
Restore;1)GERİ VERME 2)YENİDEN KULLANIMA AÇMA
Restrict;SINIRLAMAK
Result;SONUÇ
Resume;YENİDEN BAŞLAMAK
Retail;PAREKENDE, PAREKENDE SATIŞ
Retaliation;İNTİKAM, TEPKİ, MİSİLLEME
Retire;EMEKLİ OLMAK
Return;GERİ DÖNMEK
Revenge;ÖÇ ALMAK, İNTİKAM
Revenue;GELİR
Reverse;TERS, ARKA (reverse gear = geri vites)
Revise;TEKRAR GÖZDEN GEÇİRİP DÜZELTMEK
Revolution;DEVRİM
Reward;ÖDÜL
Rib;KABURGA
Ribbon;KURDELA, ŞERİT
Rice;PİRİNÇ
Rich;ZENGİN
Rid;ATMAK, FIRLATMAK (To get rid of:başından atmak)
Ride;ATA,BİSİKLETE BİNMEK
Ridiculous;GÜLÜNÇ, SAÇMA
Rifle;TÜFEK
Right;1.HAK 2.DOĞRU,HAKLI 3.SAĞ TARAF
Ring;YÜZÜK, HALKA
Ring;ÇALMAK(zil çalması), TELEFON ETMEK
Ripe;OLGUN, HAM DEĞİL
Rise;YÜKSELMEK
Risk;RİSK
Risky;RİSKLİ
River;NEHİR
Road;YOL
Roar;KÜKREME
Roast;ROSTO, FIRINDA PİŞİRMEK
Rob;1.SOYGUN YAPMAK
Rock;1.KAYA  2.SALLANMAK
Rocket;ROKET
Role;ROL
Roll;YUVARLANMAK
Roof;ÇATI
Room;ODA
Root;KÖK
Rope;HALAT, İP
Rose;1.GÜL 2.PEMBE
Rough;KABA
Round;YUVARLAK
Roundabout;1)DOLAMBAÇLI,DOLAYLI 2)ADA-Trafikte 3)YAKLAŞIK OLARA
Route;ROTA
Row;1.SIRA 2.GÜRÜLTÜ
Row;KÜREK ÇEKMEK
Royal;KRALİYETE AİT
Rub;SÜRMEK, SÜRTMEK, OVMAK
Rubber;1)LASTİK, KAUÇUK 2)SİLGİ
Rubbish;1.ÇÖP 2.SAÇMA
Rude;KABA
Rug;KÜÇÜK HALI, KİLİM
Ruin;HARABE, YIKIM, MAHVETME
Rule;1.YÖNETMEK 2.KURAL
Ruler;1.KURAL KOYUCU, YÖNETİCİ  2.CETVEL
Rumble;GÜRLEMEK
Run;1.KOŞMAK 2.ÇALIŞTIRMAK (fabrika,şirket v.b)
Runaway;1.KAÇAK 2.KONTROL DIŞI (runaway increase in prices)
Rush;ÇABUK DAVRANMAK
Rust;PAS
Sabotage;SABOTAJ
Sack;ÇUVAL
Sack;KOVMAK, İSTİFAYA ZORLAMAK
Sacrifice;KURBAN, FEDAKARLIK
Sad;ÜZGÜN, MUTSUZ
Saddle;EĞER
Safari;SAFARİ, HAYVAN AVLAMA YOLCULUĞU
Safe;1.GÜVENLİ, EMİN 2.KASA
Safety-Belt;EMNİYET KEMERİ
Safety-Pin;ÇENGELLİ İĞNE
Sail;DENİZ YOLCULUĞU
Sailor;DENİZCİ
Sake;HATIR, UĞRUNA
Salad;SALATA
Salary;MAAŞ
Sale;SATIŞ
Salmon;1) SOM BALIĞI 2) SARIMSI, PEMBE RENK
Saloon;1)SALOON CAR = NORMAL ARABA 2)SALON 3)GEMİ SALONU
Salt;TUZ
Salute;SELAM VERMEK (Askerυ)
Same;AYNI, FARKSIZ
Sample;ÖRNEK, NUMUNE
Sand;KUM
Sandal;SANDALET
Sandpaper;1) ZIMPARA KAĞIDI 2) ZIMPARALAMAK
Sandwich;SANDVİÇ
Sardine;SARDALYA
Satellite;UYDU
Satin;SATEN, ATLAS
Satisfy;TATMİN ETMEK
Saturday;CUMARTESİ
Sauce;SALÇA, SOS
Saucepan;TAVA
Saucer;BARDAK ALTLIĞI
Sausage;SOSİS
Savage;VAHŞİ,YABANİ,YIRTICI
Save;1.KORUMAK  2.TASARRUF ETMEK
Savour;TAT, LEZZET, ÇEŞNİ
Saw;1)TESTERE 2)GÖRMEK (See'nin past tens'i)
Saxophone;SAKSAFON
Say;DEMEK, SÖYLEMEK
Scale;1.ÖLÇEK 2.TART
Scandal;SKANDAL
Scarce;KIT
Scare;KORKUTMAK
Scarf;ATKI
Scene;OLAYIN GEÇTİĞİ YER, MANZARA, TİYATRONUN BİR SAHNESİ
Scheme;PLAN, PROJE
Scholarship;BURS
School;OKUL
Science;BİLİM
Scissors;MAKAS
Scone;BİR ÇEŞİT ÜZÜMLÜ EKMEK VE TEREYAĞ
Score;SKOR
Scorpion;AKREP
Scramble;1)ÇIRPMAK 2)HIZLI HAREKET VEYA TIRMANIŞ
Scrape;KAZIMAK, SÜRTMEK, ARTIK, PİSLİK
Scratch;1.TIRMALAMAK 2.KAŞIMAK
Scream;ÇIĞLIK
Screen;1.EKRAN 2.PERDE, PERDELEMEK
Screw;VİDALAMAK, VİDA, KAZIKLAMAK
Scruff;1)ENSE 2)KİRLİ,PASAKLI İNSAN
Sea;DENİZ
Seal;1)MÜHÜRLEMEK, (Kutu,mektup,kapı vb.) 2)FOK BALIĞI
Search;ARAŞTIRMAK
Seashore;DENİZ KIYISI
Seaside;DENİZ KENARI
Season;MEVSİM, SEZON
Seat;OTURULACAK YER
Seat-Belt;EMNİYET KEMERİ
Second;1.SANİYE  2.İKİNCİ
Second-Rate;İKİNCİ DERECE, KALİTE
Secret;GİZ, SIR
Secretary;SEKRETER
Section;KISIM, BÖLÜM
Secure;EMNİYETLİ, SAĞLAM
See;1.GÖRMEK 2.FARK ETMEK 3.ANLAMAK
See Over;İMTİHAN ETMEK, ÇEK ETMEK
Seed;1.TOHUM 2.ÇEKİRDEK
Seek;ARAMAK, SORUŞTURMAK
Seem;GÖRÜNMEK
Segment;DİLİM (Pasta, portakal), DİLİMLEMEK, BÖLMEK
Seize;KAPMAK, HIZLA BİR ŞEYİ ELE GEÇİRMEK
Seldom;ARA SIRA, SIK DEĞİL
Select;SEÇMEK
Selection;SEÇİM
Selfish;BENCİL
Sell;SATMAK
Semi;YARI
Senate;SENATO
Send;GÖNDERMEK
Senior;YAŞÇA VEYA KIDEMCE BÜYÜK
Sense;DUYU
Senseless;1.APTALCA 2.BİLİNÇSİZ
Sensible;AKILLI
Sensitive;DUYARLI, ALINGAN
Sentence;1.CÜMLE 2.HÜKÜM GİYME,MAHKUM OLMA (A Life sentence)
Separate;AYRI, AYIRMAK
September;EYLÜL
Sergeant;ÇAVUŞ
Serial;SERİ (T.V ,radyo,hikaye v.b )
Serious;CİDDİ
Sermon;VAAZ
Servant;HİZMETÇİ
Serve;1.HİZMET ETMEK 2.SERVİS YAPMAK
Service;SERVİS
Serviette;PEÇETE
Set;AYARLAMAK, YERLEŞTİRMEK, HAZIRLAMAK
Set Off, Out;t  SEYAHATE BAŞLAMK, YOLA ÇIKMAK
Set On;ATAK
Settle;1.DURUP DİNLENMEK 2.ALIŞMAK 3.YERLEŞMEK
Settlement;ANLAŞMA
Several;BİR KAÇ
Severe;SERT, CİDDİ
Sew;DİKİŞ DİKMEK
Sex;CİNSİYET, CİNS
Shade;GÖLGE, GÖLGELEMEK
Shadow;HARANLIK, GÖLGE
Shadow;İZLEMEK (gizlice)
Shake;SARSMAK
Shallow;SIĞ
Shame;UTANÇ
Shampoo;ŞAMPUAN, BAŞ YIKAMAK
Shape;ŞEKİL, FORM
Share;PAYLAŞTIRMAK, PAYLAŞMAK, PAY
Shark;KÖPEK BALIĞI
Sharp;1.KESKİN 2.TAM TAMINA 3.ZEKİ
Sharp Shooter;KESKİN NİŞANCI
Shave;TIRAŞ
Sheep;KOYUN, KOYUNLAR
Sheet;1.ÇARŞAF 2.İNCE TABAKA
Shelf;RAF
Shell;1.KABUK 2.BOMBALAMAK
Shelter;SIĞINMAK
Shield;KALKAN, KILIF
Shift;1)DEĞİŞTİRME 2)VARDİYE
Shine;PARLAMAK, PARLATMAK
Ship;GEMİ, GEMİYLE YOLLAMAK
Shirt;GÖMLEK
Shock;ŞOK, ŞOK ETMEK
Shoe;AYAKKABI
Shoelace;AYAKKABI BAĞI
Shoot;1.ATEŞ ETME,ŞUT ATMA 2.FİLM ÇEKME 3.TOMURCUK
Shoot Down;İMHA ETMEK, HAYIR CEVABI, OLUMSUZ
Shop;DÜKKAN, ALIŞVERİŞ YAPMAK
Shopping;ALIŞVERİŞ
Shore;KIYI
Short;1.KISA  2.ANİDEN
Short Cut;KESTİRME
Shortage;YOKLUK, KITLIK
Shortly;1.KISA BİR ZAMAN SONRA 2.KISACA
Shot;ATIŞ
Shoulder;OMUZ
Shout;BAĞIRMAK
Show;GÖSTERMEK, GÖSTERİ
Shower;1.DUŞ, DUŞ ALMAK 2.SAĞANAK YAĞMUR
Shrink;ÇEKMEK, KÜÇÜLMEK
Shut;KAPATMAK (kapı,pencere  v.b ) SHUT UP=SUS
Shy;UTANGAÇ
Sick;HASTA
Side;1.KENAR,YAN,TARAF SIDEEFFECT=YAN ETKİ 2.TARAF TUTMAK
Sigh;DERİN NEFES ALMAK
Sight;GÖRÜŞ
Sign;1.İŞARET 2.İMZALAMAK
Signal;SİNYAL VERMEK, SİNYAL
Signature;İMZA
Significant;MANALI, ÖNEMLİ
Signpost;İŞARET DİREĞİ
Silence;1.SESSİZLİK 2.SUSTURMAK
Silent;SESSİZ, SAKİN
Silk;İPEK
Silly;BUDALA, APTAL
Silo;SİLO, DEPO
Simplify;BASİTLEŞTİRMEK
Sin;GÜNAH
Since;ŞİMDİYE KADAR
Since;1.'...DEN BERİ 2.ÇÜNKÜ
Sincere;İÇTEN, SAMİMİ, SAHTE OLMAYAN
Sing;ŞARKI SÖYLEMEK
Single;1.TEK 2.BEKAR 3.TEK KİŞİLİK
Singular;ACAİP, TEK, EŞSİZ
Sink;1.BATMAK 2.EVYE
Sir;EFENDİ
Siren;SİREN
Sister;1.KIZ KARDEŞ 2.HEMŞİRE 3.RAHİBE
Sit;OTURMAK
Situation;DURUM
Size;BÜYÜKLÜK
Skate;BUZ PATENİ, PATEN AYAKKABISI
Skateboard;KAY KAY
Skeleton;İSKELET
Ski;KAYAK, KAYAK YAPMAK
Skill;YETENEK
Skim;KÖPÜK, YAĞINI ALMAK (Süt, yoğurt), ANA FİKRİ ALMAK
Skin;DERİ
Skirt;ETEK
Skull;KAFATASI
Sky;GÖKYÜZÜ
Slang;ARGO
Slave;KÖLE
Sleep;UYUMAK, UYKU
Sleepy;UYKULU, SAKİN
Sleeve;ELBİSE KOLU,SLEEVELESS = KOLSUZ (elbise,bluz v.b)
Slice;DİLİM, DİLİMLEMEK
Slide;KAYDIRAK (parkta), KAYDIRMAK
Slide;DİA, SLAYT
Slight;ÖNEMSİZ, KÜÇÜK
Slim;İNCE, ZAYIF
Slim;ZAYIFLAMAYA ÇALIŞMAK
Slip;YUVARLANMAK, KAYMAK DÜŞMEK
Slipper;TERLİK
Slope;EĞİM
Slot;UZUN, DÜZ DELİK, BOŞLUK, JETON KOYMA YERİ vb.
Slow;YAVAŞ, YAVAŞLAMAK
Small;KÜÇÜK, UFAK
Smart;1)AKILLI 2)AÇIKGÖZ 3)ŞIK
Smash;ÇARPIP KIRMAK
Smell;KOKU, KOKLAMAK
Smile;GÜLÜMSEMEK
Smoke;1.TÜTÜN İÇMEK (sigara vb.) 2.TÜTMEK 3.DUMAN
Smooth;DÜZGÜN, YUMUŞAK
Smuggle;KAÇAKÇILIK (Gümrük,iρki,esrar v.b.)
Snack;KÜÇÜK, HIZLI YENİLEN YEMEK
Snag;PÜRÜZ
Snail;SÜMÜKLÜBÖCEK
Snake;YILAN
Sneeze;HAPŞIRMAK
Sniff;BURNUNU ÇEKMEK
Snore;HORLAMAK
Snow;KAR
Snub;KÜÇÜMSEMEK,HAKİR GÖRMEK
So;1.ÖYLEYSE, BU YÜZDEN 2.BU ŞEKİLDE 3.ÇOK
So Far;ŞİMDİYE KADAR (=Up to now)
Soak;ISLATMAK
Soap;SABUN
Soccer;FUTBOL
Social;SOSYAL
Society;SOSYETE, ÇEVRE, TOPLUM
Sock;1)ÇORAP 2)VURMAK,KIRMAK 3)PUT A SOCK IN IT = SUSMAK
Socket;SOKET, PRİZ
Sofa;DİVAN , SOFA
Soft;YUMUŞAK
Soil;TOPRAK
Soldier;ASKER
Solemn;1.CİDDİ 2.BAYILTICI
Solid;KATI, SERT
Solidarity;DAYANIŞMA
Solve;ÇÖZÜM BULMAK, ÇÖZMEK
Some;1.BAZI, BİRKAÇ 2.YAKLAŞIK
Somebody;BİRİSİ
Someone;BİRİ
Sometimes;BAZEN
Somewhere;BİR YER
Son;ERKEK ÇOCUK, OĞUL
Song;ŞARKI
Soon;YAKINDA (zaman açısından)
Sophisticated;İNCELİKLİ SOSYAL HAYATTAN BİLGİSİOLAN,UKALA,KARIŞIK
Sore;AĞRI VERİCİ
Sorrow;ÜZÜNTÜ
Sorry;ÜZGÜN
Sort;ÇEŞİT
Sort;SIRALAMAK
Soul;RUH
Sound;1.SES 2.MANTIKLI 3.TOPLAM
Sound;GİBİ GELMEK
Soup;ÇORBA
Sour;EKŞİ
Source;KAYNAK
South;GÜNEY
Souvenir;HATIRA
Sow;TOPRAĞA EKMEK
Space;1.UZAY 2.BOŞLUK 3.YER
Spade;1.MAÇA (oyun kartlarında) 2.KÜREK
Span;1) İKİ LİMİT ARASINDAKİ ŞEY, ZAMAN VB. 2) KARIŞ
Spanner;SOMUN SIKMA ALETİ(Adjustable spanner=İngiliz anahtar
Spare;EKSTRA, FAZLA, BOŞ, YEDEK
Speak;KONUŞMAK
Special;1.ÖZEL 2.EN İYİ
Spectacular;GÖRÜLMEYE DEĞER
Spectator;İZLEYİCİ (Maρ vb.)
Speech;KONUŞMA
Speed;HIZ, HIZLI GİTMEK
Speedometer;HIZÖLÇER
Spell;1.HARFLERİ SÖYLEMEK  2.BÜYÜLÜ SÖZCÜKLER
Spend;PARA HARCAMAK, HARCAMAK
Spice;BAHARAT
Spider;ÖRÜMCEK
Spill;DÖKMEK,SAÇMAK (Sıvı)
Spiral;SPİRAL
Spirit;1.RUH, RUHSAL DURUM, 2.ALKOLLÜ İÇKİ 3.İSPİRTO
Spit;TÜKÜRMEK
Spite;1.RAĞMEN 2.BİRİSİNE ZARAR VERME İSTEĞİ
