TERK ETMEK;Abandon
BEYAZ TUTKAL, MACUN, HAMUR;Paste
HOŞ İYİ ZAMAN;Pastime
PATİKA, KÜÇÜK YOL;Path
SABIR;Patience
1.SABIRLI 2.HASTA;Patient
DEVRİYE;Patrol
1)DESTEKLEYİCİ KİŞİ 2)DEVAMLI MÜŞTERİ;Patron
MOLA, ARA;Pause
HAYVAN PENÇESİ;Paw
ÖDEMEK;Pay
ÖDEME;Payment
BEZELYE;Pea
BARIŞ;Peace
ŞEFTALİ;Peach
ZİRVE, TEPE;Peak
YER FISTIĞI;Peanut
ARMUT;Pear
İNCİ;Pearl
ÇİFTÇİ, KÖYLÜ KESİM;Peasant
GARİP;Peculiar
PEDAL;Pedal
YAYA GİDEN;Pedestrian
KABUK SOYMAK (Meyve);Peel
1.AĞIL 2.TÜKENMEZ KALEM;Pen
CEZA;Penalty
KURŞUN KALEM;Pencil
ÇAKI;Penknife
EMEKLİ MAAŞI;Pension
HALK;People
BİBER;Pepper
HER;Per
KUSURSUZ, YETKİN;Perfect
1.ÇALIŞMAK 2.UYGULAMAK;Perform
PERFORMANS;Performance
PARFÜM;Perfume
BELKİ;Perhaps
BÜYÜK TEHLİKE;Peril
1)ÇAĞ, DEVİR, PERİOD 2)ADET (hali);Period
DEVAMLI,SÜREKLİ;Permanent
İZİN;Permission
1.İZİN VERMEK 2.İZİN KAĞIDI;Permit
DEVAM ETMEK;Persist
KİŞİ;Person
KİŞİLİK;Personality
İKNA ETMEK;Persuade
KÖTÜMSER;Pessimist
PETROL;Petrol
BENZİNCİ;Petrol Station
FİZOLOFİ;Philosophy
TELEFON;Phone
FOTOĞRAF;Photo
FİZİKSEL;Physical
PİYANO;Piano
TOPLAMAK, SEÇMEK;Pick
GREV GÖZCÜSÜ, FABRİKA ÖNÜNDE BEKLEME;Picket
TURŞU;Pickle
YANKESİCİ;Pickpocket
PİKNİK;Picnic
RESİM;Picture
PASTA, BÖREK;Pie
PARÇA;Piece
DOMUZ;Pig
GÜVERCİN;Pigeon
ÜST ÜSTE KOYMAK;Pile
HAP;Pill
YASTIK;Pillow
YASTIK KILIFI;Pillowcase
PİLOT;Pilot
TOPLU İĞNE;Pin
1)KERPETEN 2)KISKAÇ (Yengecin v.b.);Pincers
ÇİMDİKLEMEK, SIKIŞTIRMAK (Kapıya vb.);Pinch
ÇAM;Pine
ANANAS;Pineapple
PEMBE;Pink
ÖNCÜ;Pioneer
1.BORU 2.PİPO 3.FLÜT;Pipe
TABANCA;Pistol
ACIMAK (What a pity : Ne yazık);Pity
ACIMAK (What a pity : Ne yazık);Pity
YER, YERLEŞTİRMEK;Place
AÇIK, ORTADA, DÜZ;Plain
PLAN, PLANLAMAK;Plan
UÇAK;Plane
1.BİTKİ, BİTKİ EKMEK  2.FABRİKA, TESİS;Plant
EKİLİ YER;Plantation
PLASTİK;Plastic
TABAK;Plate
1)PLATFORM, YÜKSEKÇE YER, KÜRSÜ 2)PERON;Platform
1.OYNAMAK 2.ÇALMAK (bir müzik aletini);Play
OYUNCU, ÇALAN;Player
OYUN SAHASI;Playground
KEYİFLİ, ZEVKLİ;Pleasant
1.LÜTFEN  2.MUTLANDIRMAK;Please
ZEVK;Pleasure
ÇOK SAYIDA;Plenty
TOPRAĞI SÜRMEK;Plough
FİŞ, BANYO TIKACI;Plug
1)ERİK 2)BONBON SEKERİ;Plum
MUSLUK TAMİRCİSİ;Plumber
ARTI;Plus
CEP;Pocket
ŞİİR;Poem
ŞAİR, OZAN;Poet
ŞİİRLER, ŞAİRLİK, ŞİİRLE İLGİLİ;Poetry
NOKTA, UÇ;Point
ZEHİR;Poison
1)KUTUP 2)DİREK, KAZIK;Pole
POLİS;Police
1.POLİÇE  2.YÖNETİM İLKESİ, POLİTİKA;Policy
PARLATMAK;Polish
KİBAR;Polite
POLİTİK;Political
POLİTİKACI, POLİTİKAYLA UĞRAŞAN;Politician
POLİTİK;Politics
HAVUZ;Pool
1.YOKSUL 2.ZAVALLI;Poor
NÜFUS;Population
PORSELEN;Porcelain
DOMUZ ETİ;Pork
LİMAN;Port
1)HAMMAL 2)KAPICI;Porter
DURUM, KONUM;Position
1.EMİN, KESİN  2.OLUMLU;Positive
SAHİP OLMAK;Possess
SAHİPLİK;Possession
OLASILIK;Possibility
OLASI, MÜMKÜN;Possible
1.POSTA  2.İŞARET  3.DEVRİYE GEZMEK (askerde);Post
POSTA ÜCRETİ;Postage
ERTELEMEK;Postpone
TENCERE;Pot
PATATES;Potato
DÖKMEK, AKITMAK;Pour
FAKİRLİK;Poverty
TOZ, PUDRA;Powder
GÜÇ;Power
VEKALETNAME;Power Of Attorney
GÜÇLÜ;Powerful
1)ELEKTRİK SANTRALI 2)OLAĞANÜSTÜ ENERJİYE SAHİP ŞEY;Power-House
PRATİK;Practical
ALIŞTIRMA;Practice
ALIŞTIRMA YAPMAK;Practise
ÖVMEK;Praise
DUA ETMEK;Pray
VAAZ VERMEK;Preach
KIYMETLİ, ÇOK SEVİLEN;Precious
KESİNLİKLE, TAM MANASIYLA;Precisely
TAHMİN ETMEK;Predict
YEĞLEMEK, TERCİH ETMEK;Prefer
HAMİLE;Pregnant
ÖNYARGI;Prejudice
HAZIRLIK;Preparation
HAZIRLAMAK;Prepare
REÇETE;Prescription
VARLIK(bir yerde varlığı );Presence
BURADA, MEVCUT, ŞİMDİKİ, ARMAĞAN;Present
SUNMAK;Present
KORUMAK,KONSERVE YAPMAK;Preserve
BAŞKAN;President
1.BASKI 2.ÜTÜLEME 3.BASIN;Press
BASKI YAPMAK, BASMAK;Press
BASINÇ, BASKI;Pressure
GİBİ GÖZÜKMEK, TAKLİT YAPMAK;Pretend
1.SEVİMLİ  2.OLDUKÇA;Pretty
KORUMAK;Prevent
ÖNCEKİ;Previous
FİYAT;Price
ONUR,GURUR;Pride
RAHİP;Priest
ANA OLARAK;Primarily
1)ÖNCELERİ,ESKİDEN 2)ANA,BAŞ-Primary cause 3)İLK OKU;Primary
1)İLKEL 2)BASİT, MODASI GEÇMİŞ;Primitive
PRENS;Prince
1.EN ÖNEMLİ 2.PRENSİP  3.ANA PARA (borçta);Principal
1.BASMAK(harfler vs.) 2.İZ;Print
ÖNCELİK;Priority
HAPİS;Prison
1.MAHKUM 2.ESİR;Prisoner
ÖZEL;Private
İMTİYAZ;Privilege
ÖDÜL;Prize
OLASI;Probable
SORUN, PROBLEM;Problem
İŞLEM;Process
ÜRETMEK;Produce
ÜRÜN;Product
ÜRETİM;Production
MESLEK;Profession
KAR;Profit
PROGRAM;Programme
GELİŞME;Progress
YASAKLAMAK;Prohibit
SÖZ VERMEK;Promise
1)İLERLEME,TERFİ ETME 2)TANITIM(Ürün vb.Satış iρin);Promote
TERFİ;Promotion
OKUNUŞUNU ÇIKARTMAK, TELAFFUZ ETMEK;Pronounce
KANIT;Proof
1)İLERİYE YÜRÜTEN ŞEY 2)VAPUR VEYA UÇAK PERVANESİ;Propeller
UYGUN, DOĞRU;Proper
MAL, MÜLK (bir işinin sahip olduğu), EŞYA;Property
ORANTI;Proportion
PLAN, ÖNERİ;Proposal
1.PLANINI AÇIKLAMAK 2.EVLİLİK TEKLİF ETMEK;Propose
TAKİP ETMEK, KAVUŞTURMAK, DAVA AÇMAK, SUÇLAMAK;Prosecute
FUHUŞ;Prostitution
KORUMAK;Protect
PROTESTO;Protest
GURURLU;Proud
KANITLAMAK;Prove
ATA SÖZÜ;Proverb
SAĞLAMAK, TEDARİK ETMEK;Provide
KIŞKIRTMA;Provocation
KIŞKIRTMAK, KIZDIRMAYA NEDEN OLMAK;Provoke
PAB, BİRAHANE;Pub
HALK  (puplıc sector=devlet sektörü );Public
İLAN, REKLAM, YAYINLAMA;Publicity
BASIM (bir yayını);Publish
ÇEKMEK;Pull
ARACI DURDURMAK;Pull Up
1.KAZAK  2.ARABAYI DURDURMAK, KENARA ÇEKMEK;Pullover
NABIZ, VURUŞ;Pulse
POMPA;Pump
KABAK;Pumpkin
1.DELMEK 2.YUMRUKLAMAK;Punch
TAM ZAMANINDA;Punctual
CEZALANDIRMAK;Punish
1.ÖĞRENCİ 2.GÖZBEBEĞİ;Pupil
KUKLA;Puppet
GENÇ KÖPEK;Puppy
SATIN ALMAK;Purchase
SAF, TEMİZ;Pure
MOR;Purple
AMAÇ;Purpose
KÜÇÜK EL ÇANTASI;Purse
İTMEK;Push
KOYMAK;Put
BULMACA, PROBLEM;Puzzle
PİJAMA;Pyjamas
PİRAMİT;Pyramid
EHLİYETLİ, KALİFİYE;Qualified
NİTELİK, KALİTE;Quality
MİKTAR;Quantity
TARTIŞMAK, ATIŞMAK;Quarrel
ÇEYREK;Quarter
KRALİÇE;Queen
SORU, SORMAK;Question
SIRA, KUYRUK;Queue
ÇABUK;Quick
SESSİZ, SAKİN, HUZURLU;Quiet
HEMEN HEMEN, YAKLAŞIK OLARAK;Quite
KÜÇÜK TEST;Quiz
KOTA, KONTENJAN;Quota
AKTARMA,  SÖYLEME;Quote
TAVŞAN;Rabbit
IRK;Race
YARIŞMAK;Race
RAKET;Racket
RADAR;Radar
RADYATÖR;Radiator
RADYO;Radio
RAY;Rail
BAHCE PARMAKLIKLARI;Railing
TREN YOLU;Railway
YAĞMUR;Rain
YAĞMURLUK;Raincoat
1.YÜKSELTMEK 2.ZAM YAPMAK 3.YETİŞTİRMEK;Raise
1)KOÇ 2)VURMAK, TOSLAMAK;Ram
ARALIK, ALAN;Range
1.SIRA 2.RÜTBE 3.SOSYAL SINIF;Rank
ÇABUK, HIZLI;Rapid
NADİR;Rare
1)HIZLI, ACELE 2)ÇİL;Rash
SIÇAN;Rat
1.HIZ  2. ORAN;Rate
EPEY, ÇOK DEĞİL;Rather
1.HAM 2.ÇİĞ;Raw
USTURA, TRAŞ MAKİNESİ;Razor
ERİŞMEK;Reach
OKUMAK;Read
HAZIR;Ready
FARK ETMEK (idrak etmek );Realize
GERÇEKTEN;Really
1)YETİŞTİRMEK(insan,kuş,bitki) 2)ARKA,ARKA TARAF;Rear
1.NEDEN  2.AKIL;Reason
MAKUL;Reasonable
ANIMSAMAK;Recall
MAKBUZ;Receipt
1.ALMAK 2.KARŞILAMAK;Receive
YAKIN ZAMANDA OLAN;Recent
1.RESMİ DAVET 2.RESEPSİYON;Reception
DURAKLAMA, GERİLEME, EKONOMİDE DURGUNLUK;Recession
YEMEK TARİFİ;Recipe
TANIMAK;Recognize
HATIRLAMAK;Recollect
TAVSİYE ETMEK;Recommend
UZLAŞMA, ANLAŞMA YAPMAK;Reconcile
UZLAŞMA;Reconciliation
1.KAYIT 2.PLAK 3.REKOR;Record
1.İYİLEŞMEK 2.(kaybedilen bir şeyi) BULMAK;Recover
KIRMIZI, KIZIL;Red
AZALTMAK;Reduce
HAKEM;Referee
REFERANDUM, HALK OYLAMASI;Referendum
DOLDURMAK;Refill
YANSITMAK;Reflect
SANDOVİÇ, TOST, İÇECEK (Gar,istasyon gibi yerlerde);Refreshments
BUZDOLABI;Refrigerator
REFÜJ, GÜVENLİ YER;Refuge
TEHLİKEDEN KAÇAN, KAZAZEDE;Refugee
REDDETMEK;Refuse
1.DİKKAT 2.DÜŞÜNCE 3.BAKMAK 4.İNANMAK;Regard
BÖLGE;Region
1)KÜTÜK,SİCİL,KAYIT 2)REGISTER POST=TAAHÜTLÜ MEKTUP;Register
ÜZGÜN OLMAK, PİŞMAN OLMAK;Regret
DÜZENLİ, OLAĞAN;Regular
YÖNETMELİK, YASA;Regulation
KABUL ETMEMEK;Reject
ANLATMAK, NAKLETMEK (formal tell);Relate
1.İLİŞKİ 2.AKRABALIK;Relation
İLİŞKİ, İLETİŞİM;Relationship
1.AKRABA 2.GÖRECELİ;Relative
RAHATLAMAK, GEVŞEMEK;Relax
SERBEST BIRAKMAK, GEVŞETMEK;Release
BAĞINTILI, KONUYLA İLİŞKİLİ;Relevant
GÜVENİLİR;Reliable
RAHATLAMA;Relief
UZAKLAŞTIRMAK (ağrıyı v.s.);Relieve
DİN;Religion
İSTEKSİZ VE BUNDAN DOLAYI İŞİ YAPMAYI AĞIRDAN ALMAK;Reluctant
1.GERİYE KALMAK 2.YERİNDE DURMAK;Remain
BELİRTMEK, AÇIKLAMA;Remark
DİKKATE DEĞER;Remarkable
ÇARE;Remedy
UNUTMAMAK, ANIMSAMAK;Remember
ANIMSATMAK;Remind
1)AFFETMEK,BAĞIŞLAMAK2)POSTAYLA PARA YOLLAMA-Havale;Remit
HAVELE (Para);Remittance
UZAK;Remote
UZAKLAŞTIRMAK;Remove
KİRALAMAK;Rent
ONARMAK;Repair
GERİ ÖDEMEK;Repay
TEKRARLAMAK;Repeat
YENİDEN YERLEŞTİRMEK;Replace
YERLEŞTİRME;Replacement
YANITLAMAK, YANIT;Reply
RAPOR,  RAPOR ETMEK;Report
TEMSİL ETMEK;Represent
TEMSİLCİ;Representative
CUMHURİYET;Republic
İTİBAR,ÜN;Reputation
RİCA ETMEK, RİCA;Request
GEREKSİNMEK;Require
KURTARMAK;Rescue
ARAŞTIRMA;Research
HOŞLANMAMAK, KIZMAK;Resent
1.REZERV 2.REZERVASYON YAPTIRMAK;Reserve
OTURMAK, İKAMET ETMEK;Reside
BÖLGEDE YAŞAYAN, OTURAN;Resident
İSTİFA ETMEK;Resign
KARŞI KOYMAK;Resist
SAYGI DUYMAK;Respect
SAYGIDEĞER;Respectable
CEVAP VERMEK;Respond
SORUMLU;Responsible
DİNLENMEK;Rest
GERİYE KALAN;Rest
RESTORAN, LOKANTA;Restaurant
1)GERİ VERME 2)YENİDEN KULLANIMA AÇMA;Restore
SINIRLAMAK;Restrict
SONUÇ;Result
YENİDEN BAŞLAMAK;Resume
PAREKENDE, PAREKENDE SATIŞ;Retail
İNTİKAM, TEPKİ, MİSİLLEME;Retaliation
EMEKLİ OLMAK;Retire
GERİ DÖNMEK;Return
ÖÇ ALMAK, İNTİKAM;Revenge
GELİR;Revenue
TERS, ARKA (reverse gear = geri vites);Reverse
TEKRAR GÖZDEN GEÇİRİP DÜZELTMEK;Revise
DEVRİM;Revolution
ÖDÜL;Reward
KABURGA;Rib
KURDELA, ŞERİT;Ribbon
PİRİNÇ;Rice
ZENGİN;Rich
ATMAK, FIRLATMAK (To get rid of:başından atmak);Rid
ATA,BİSİKLETE BİNMEK;Ride
GÜLÜNÇ, SAÇMA;Ridiculous
TÜFEK;Rifle
1.HAK 2.DOĞRU,HAKLI 3.SAĞ TARAF;Right
YÜZÜK, HALKA;Ring
ÇALMAK(zil çalması), TELEFON ETMEK;Ring
OLGUN, HAM DEĞİL;Ripe
YÜKSELMEK;Rise
RİSK;Risk
RİSKLİ;Risky
NEHİR;River
YOL;Road
KÜKREME;Roar
ROSTO, FIRINDA PİŞİRMEK;Roast
1.SOYGUN YAPMAK;Rob
1.KAYA  2.SALLANMAK;Rock
ROKET;Rocket
ROL;Role
YUVARLANMAK;Roll
ÇATI;Roof
ODA;Room
KÖK;Root
HALAT, İP;Rope
1.GÜL 2.PEMBE;Rose
KABA;Rough
YUVARLAK;Round
1)DOLAMBAÇLI,DOLAYLI 2)ADA-Trafikte 3)YAKLAŞIK OLARA;Roundabout
ROTA;Route
1.SIRA 2.GÜRÜLTÜ;Row
KÜREK ÇEKMEK;Row
KRALİYETE AİT;Royal
SÜRMEK, SÜRTMEK, OVMAK;Rub
1)LASTİK, KAUÇUK 2)SİLGİ;Rubber
1.ÇÖP 2.SAÇMA;Rubbish
KABA;Rude
KÜÇÜK HALI, KİLİM;Rug
HARABE, YIKIM, MAHVETME;Ruin
1.YÖNETMEK 2.KURAL;Rule
1.KURAL KOYUCU, YÖNETİCİ  2.CETVEL;Ruler
GÜRLEMEK;Rumble
1.KOŞMAK 2.ÇALIŞTIRMAK (fabrika,şirket v.b);Run
1.KAÇAK 2.KONTROL DIŞI (runaway increase in prices);Runaway
ÇABUK DAVRANMAK;Rush
PAS;Rust
SABOTAJ;Sabotage
ÇUVAL;Sack
KOVMAK, İSTİFAYA ZORLAMAK;Sack
KURBAN, FEDAKARLIK;Sacrifice
ÜZGÜN, MUTSUZ;Sad
EĞER;Saddle
SAFARİ, HAYVAN AVLAMA YOLCULUĞU;Safari
1.GÜVENLİ, EMİN 2.KASA;Safe
EMNİYET KEMERİ;Safety-Belt
ÇENGELLİ İĞNE;Safety-Pin
DENİZ YOLCULUĞU;Sail
DENİZCİ;Sailor
HATIR, UĞRUNA;Sake
SALATA;Salad
MAAŞ;Salary
SATIŞ;Sale
1) SOM BALIĞI 2) SARIMSI, PEMBE RENK;Salmon
1)SALOON CAR = NORMAL ARABA 2)SALON 3)GEMİ SALONU;Saloon
TUZ;Salt
SELAM VERMEK (Askerυ);Salute
AYNI, FARKSIZ;Same
ÖRNEK, NUMUNE;Sample
KUM;Sand
SANDALET;Sandal
1) ZIMPARA KAĞIDI 2) ZIMPARALAMAK;Sandpaper
SANDVİÇ;Sandwich
SARDALYA;Sardine
UYDU;Satellite
SATEN, ATLAS;Satin
TATMİN ETMEK;Satisfy
CUMARTESİ;Saturday
SALÇA, SOS;Sauce
TAVA;Saucepan
BARDAK ALTLIĞI;Saucer
SOSİS;Sausage
VAHŞİ,YABANİ,YIRTICI;Savage
1.KORUMAK  2.TASARRUF ETMEK;Save
TAT, LEZZET, ÇEŞNİ;Savour
1)TESTERE 2)GÖRMEK (See'nin past tens'i);Saw
SAKSAFON;Saxophone
DEMEK, SÖYLEMEK;Say
1.ÖLÇEK 2.TART;Scale
SKANDAL;Scandal
KIT;Scarce
KORKUTMAK;Scare
ATKI;Scarf
OLAYIN GEÇTİĞİ YER, MANZARA, TİYATRONUN BİR SAHNESİ;Scene
PLAN, PROJE;Scheme
BURS;Scholarship
OKUL;School
BİLİM;Science
MAKAS;Scissors
BİR ÇEŞİT ÜZÜMLÜ EKMEK VE TEREYAĞ;Scone
SKOR;Score
AKREP;Scorpion
1)ÇIRPMAK 2)HIZLI HAREKET VEYA TIRMANIŞ;Scramble
KAZIMAK, SÜRTMEK, ARTIK, PİSLİK;Scrape
1.TIRMALAMAK 2.KAŞIMAK;Scratch
ÇIĞLIK;Scream
1.EKRAN 2.PERDE, PERDELEMEK;Screen
VİDALAMAK, VİDA, KAZIKLAMAK;Screw
1)ENSE 2)KİRLİ,PASAKLI İNSAN;Scruff
DENİZ;Sea
1)MÜHÜRLEMEK, (Kutu,mektup,kapı vb.) 2)FOK BALIĞI;Seal
ARAŞTIRMAK;Search
DENİZ KIYISI;Seashore
DENİZ KENARI;Seaside
MEVSİM, SEZON;Season
OTURULACAK YER;Seat
EMNİYET KEMERİ;Seat-Belt
1.SANİYE  2.İKİNCİ;Second
İKİNCİ DERECE, KALİTE;Second-Rate
GİZ, SIR;Secret
SEKRETER;Secretary
KISIM, BÖLÜM;Section
EMNİYETLİ, SAĞLAM;Secure
1.GÖRMEK 2.FARK ETMEK 3.ANLAMAK;See
İMTİHAN ETMEK, ÇEK ETMEK;See Over
1.TOHUM 2.ÇEKİRDEK;Seed
ARAMAK, SORUŞTURMAK;Seek
GÖRÜNMEK;Seem
DİLİM (Pasta, portakal), DİLİMLEMEK, BÖLMEK;Segment
KAPMAK, HIZLA BİR ŞEYİ ELE GEÇİRMEK;Seize
ARA SIRA, SIK DEĞİL;Seldom
SEÇMEK;Select
SEÇİM;Selection
BENCİL;Selfish
SATMAK;Sell
YARI;Semi
SENATO;Senate
GÖNDERMEK;Send
YAŞÇA VEYA KIDEMCE BÜYÜK;Senior
DUYU;Sense
1.APTALCA 2.BİLİNÇSİZ;Senseless
AKILLI;Sensible
DUYARLI, ALINGAN;Sensitive
1.CÜMLE 2.HÜKÜM GİYME,MAHKUM OLMA (A Life sentence);Sentence
AYRI, AYIRMAK;Separate
EYLÜL;September
ÇAVUŞ;Sergeant
SERİ (T.V ,radyo,hikaye v.b );Serial
CİDDİ;Serious
VAAZ;Sermon
HİZMETÇİ;Servant
1.HİZMET ETMEK 2.SERVİS YAPMAK;Serve
SERVİS;Service
PEÇETE;Serviette
AYARLAMAK, YERLEŞTİRMEK, HAZIRLAMAK;Set
t  SEYAHATE BAŞLAMK, YOLA ÇIKMAK;Set Off, Out
ATAK;Set On
1.DURUP DİNLENMEK 2.ALIŞMAK 3.YERLEŞMEK;Settle
ANLAŞMA;Settlement
BİR KAÇ;Several
SERT, CİDDİ;Severe
DİKİŞ DİKMEK;Sew
CİNSİYET, CİNS;Sex
GÖLGE, GÖLGELEMEK;Shade
HARANLIK, GÖLGE;Shadow
İZLEMEK (gizlice);Shadow
SARSMAK;Shake
SIĞ;Shallow
UTANÇ;Shame
ŞAMPUAN, BAŞ YIKAMAK;Shampoo
ŞEKİL, FORM;Shape
PAYLAŞTIRMAK, PAYLAŞMAK, PAY;Share
KÖPEK BALIĞI;Shark
1.KESKİN 2.TAM TAMINA 3.ZEKİ;Sharp
KESKİN NİŞANCI;Sharp Shooter
TIRAŞ;Shave
KOYUN, KOYUNLAR;Sheep
1.ÇARŞAF 2.İNCE TABAKA;Sheet
RAF;Shelf
1.KABUK 2.BOMBALAMAK;Shell
SIĞINMAK;Shelter
KALKAN, KILIF;Shield
1)DEĞİŞTİRME 2)VARDİYE;Shift
PARLAMAK, PARLATMAK;Shine
GEMİ, GEMİYLE YOLLAMAK;Ship
GÖMLEK;Shirt
ŞOK, ŞOK ETMEK;Shock
AYAKKABI;Shoe
AYAKKABI BAĞI;Shoelace
1.ATEŞ ETME,ŞUT ATMA 2.FİLM ÇEKME 3.TOMURCUK;Shoot
İMHA ETMEK, HAYIR CEVABI, OLUMSUZ;Shoot Down
DÜKKAN, ALIŞVERİŞ YAPMAK;Shop
ALIŞVERİŞ;Shopping
KIYI;Shore
1.KISA  2.ANİDEN;Short
KESTİRME;Short Cut
YOKLUK, KITLIK;Shortage
1.KISA BİR ZAMAN SONRA 2.KISACA;Shortly
ATIŞ;Shot
OMUZ;Shoulder
BAĞIRMAK;Shout
GÖSTERMEK, GÖSTERİ;Show
1.DUŞ, DUŞ ALMAK 2.SAĞANAK YAĞMUR;Shower
ÇEKMEK, KÜÇÜLMEK;Shrink
KAPATMAK (kapı,pencere  v.b ) SHUT UP=SUS;Shut
UTANGAÇ;Shy
HASTA;Sick
1.KENAR,YAN,TARAF SIDEEFFECT=YAN ETKİ 2.TARAF TUTMAK;Side
DERİN NEFES ALMAK;Sigh
GÖRÜŞ;Sight
1.İŞARET 2.İMZALAMAK;Sign
SİNYAL VERMEK, SİNYAL;Signal
İMZA;Signature
MANALI, ÖNEMLİ;Significant
İŞARET DİREĞİ;Signpost
1.SESSİZLİK 2.SUSTURMAK;Silence
SESSİZ, SAKİN;Silent
İPEK;Silk
BUDALA, APTAL;Silly
SİLO, DEPO;Silo
BASİTLEŞTİRMEK;Simplify
GÜNAH;Sin
ŞİMDİYE KADAR;Since
1.'...DEN BERİ 2.ÇÜNKÜ;Since
İÇTEN, SAMİMİ, SAHTE OLMAYAN;Sincere
ŞARKI SÖYLEMEK;Sing
1.TEK 2.BEKAR 3.TEK KİŞİLİK;Single
ACAİP, TEK, EŞSİZ;Singular
1.BATMAK 2.EVYE;Sink
EFENDİ;Sir
SİREN;Siren
1.KIZ KARDEŞ 2.HEMŞİRE 3.RAHİBE;Sister
OTURMAK;Sit
DURUM;Situation
BÜYÜKLÜK;Size
BUZ PATENİ, PATEN AYAKKABISI;Skate
KAY KAY;Skateboard
İSKELET;Skeleton
KAYAK, KAYAK YAPMAK;Ski
YETENEK;Skill
KÖPÜK, YAĞINI ALMAK (Süt, yoğurt), ANA FİKRİ ALMAK;Skim
DERİ;Skin
ETEK;Skirt
KAFATASI;Skull
GÖKYÜZÜ;Sky
ARGO;Slang
KÖLE;Slave
UYUMAK, UYKU;Sleep
UYKULU, SAKİN;Sleepy
ELBİSE KOLU,SLEEVELESS = KOLSUZ (elbise,bluz v.b);Sleeve
DİLİM, DİLİMLEMEK;Slice
KAYDIRAK (parkta), KAYDIRMAK;Slide
DİA, SLAYT;Slide
ÖNEMSİZ, KÜÇÜK;Slight
İNCE, ZAYIF;Slim
ZAYIFLAMAYA ÇALIŞMAK;Slim
YUVARLANMAK, KAYMAK DÜŞMEK;Slip
TERLİK;Slipper
EĞİM;Slope
UZUN, DÜZ DELİK, BOŞLUK, JETON KOYMA YERİ vb.;Slot
YAVAŞ, YAVAŞLAMAK;Slow
KÜÇÜK, UFAK;Small
1)AKILLI 2)AÇIKGÖZ 3)ŞIK;Smart
ÇARPIP KIRMAK;Smash
KOKU, KOKLAMAK;Smell
GÜLÜMSEMEK;Smile
1.TÜTÜN İÇMEK (sigara vb.) 2.TÜTMEK 3.DUMAN;Smoke
DÜZGÜN, YUMUŞAK;Smooth
KAÇAKÇILIK (Gümrük,iρki,esrar v.b.);Smuggle
KÜÇÜK, HIZLI YENİLEN YEMEK;Snack
PÜRÜZ;Snag
SÜMÜKLÜBÖCEK;Snail
YILAN;Snake
HAPŞIRMAK;Sneeze
BURNUNU ÇEKMEK;Sniff
HORLAMAK;Snore
KAR;Snow
KÜÇÜMSEMEK,HAKİR GÖRMEK;Snub
1.ÖYLEYSE, BU YÜZDEN 2.BU ŞEKİLDE 3.ÇOK;So
ŞİMDİYE KADAR (=Up to now);So Far
ISLATMAK;Soak
SABUN;Soap
FUTBOL;Soccer
SOSYAL;Social
SOSYETE, ÇEVRE, TOPLUM;Society
1)ÇORAP 2)VURMAK,KIRMAK 3)PUT A SOCK IN IT = SUSMAK;Sock
SOKET, PRİZ;Socket
DİVAN , SOFA;Sofa
YUMUŞAK;Soft
TOPRAK;Soil
ASKER;Soldier
1.CİDDİ 2.BAYILTICI;Solemn
KATI, SERT;Solid
DAYANIŞMA;Solidarity
ÇÖZÜM BULMAK, ÇÖZMEK;Solve
1.BAZI, BİRKAÇ 2.YAKLAŞIK;Some
BİRİSİ;Somebody
BİRİ;Someone
BAZEN;Sometimes
BİR YER;Somewhere
ERKEK ÇOCUK, OĞUL;Son
ŞARKI;Song
YAKINDA (zaman açısından);Soon
İNCELİKLİ SOSYAL HAYATTAN BİLGİSİOLAN,UKALA,KARIŞIK;Sophisticated
AĞRI VERİCİ;Sore
ÜZÜNTÜ;Sorrow
ÜZGÜN;Sorry
ÇEŞİT;Sort
SIRALAMAK;Sort
RUH;Soul
1.SES 2.MANTIKLI 3.TOPLAM;Sound
GİBİ GELMEK;Sound
ÇORBA;Soup
EKŞİ;Sour
KAYNAK;Source
GÜNEY;South
HATIRA;Souvenir
TOPRAĞA EKMEK;Sow
1.UZAY 2.BOŞLUK 3.YER;Space
1.MAÇA (oyun kartlarında) 2.KÜREK;Spade
1) İKİ LİMİT ARASINDAKİ ŞEY, ZAMAN VB. 2) KARIŞ;Span
SOMUN SIKMA ALETİ(Adjustable spanner=İngiliz anahtar;Spanner
EKSTRA, FAZLA, BOŞ, YEDEK;Spare
KONUŞMAK;Speak
1.ÖZEL 2.EN İYİ;Special
GÖRÜLMEYE DEĞER;Spectacular
İZLEYİCİ (Maρ vb.);Spectator
KONUŞMA;Speech
HIZ, HIZLI GİTMEK;Speed
HIZÖLÇER;Speedometer
1.HARFLERİ SÖYLEMEK  2.BÜYÜLÜ SÖZCÜKLER;Spell
PARA HARCAMAK, HARCAMAK;Spend
BAHARAT;Spice
ÖRÜMCEK;Spider
DÖKMEK,SAÇMAK (Sıvı);Spill
SPİRAL;Spiral
1.RUH, RUHSAL DURUM, 2.ALKOLLÜ İÇKİ 3.İSPİRTO;Spirit
TÜKÜRMEK;Spit
1.RAĞMEN 2.BİRİSİNE ZARAR VERME İSTEĞİ;Spite
SIÇRATMA;Splash
NEFİS, HARİKA;Splendid
İKİYE BÖLMEK;Split
1.ZARAR VERMEK 2.ŞIMARTMAK;Spoil
KAŞIK;Spoon
SPOR;Sport
